ID,FEN,1,2,3,4,5,6,7,side
0009B,"r2qr1k1/b1p2ppp/pp4n1/P1P1p3/4P1n1/B2P2Pb/3NBP1P/RN1QR1K1 b - - 1 16
",-6,-3,2,-1,6,0,1,0
000aY,"r4rk1/pp3ppp/2n1b3/q1pp2B1/8/P1Q2NP1/1PP1PP1P/2KR3R w - - 0 15
",3,1,6,0,-2,0,4,1
000lC,"3r3r/pQNk1ppp/1qnb1n2/1B6/8/8/PPP3PP/3R1R1K w - - 5 19
",10,-3,-7,0,0,-2,-7,1
0017R,"r2qk2r/pp2ppbp/1n1p2p1/3Pn3/2P5/2NBBP1P/PP3P2/R2QK2R b KQkq - 0 12
",1,3,15,0,5,0,-7,0
001Fg,"2R2r1k/pQ4pp/5rp1/3B4/q2n4/7P/P4PP1/5RK1 w - - 3 30
",4,1,4,-1,0,0,1,1
001XA,"1qr2rk1/pb2bppp/8/8/2p1N3/P1Bn2P1/2Q2PBP/1R3RK1 b - - 3 23
",4,-1,-1,-1,-1,-1,1,0
002IE,"r3brk1/5pp1/p1nqpn1p/P2pN3/2pP4/2P1PN2/5PPP/RB1QK2R b KQ - 4 16
",2,-1,3,1,-1,0,-3,0
002KJ,"r3kb1r/ppq2ppp/4pn2/2Ppn3/1P4bP/2P2N2/P3BPP1/RNBQ1RK1 b kq - 2 10
",1,0,2,0,5,0,-2,0
002Ua,"r4rk1/pp3ppp/3p1q2/P1P1p3/2B5/2B2n2/2P2P1P/R2Q1RK1 w - - 0 16
",6,0,13,-1,3,1,-1,1
002uV,"r2r2k1/1p2qppp/2n1p3/5n2/p2P4/P2Q1N2/BP3PPP/2R1R1K1 w - - 4 20
",4,2,6,0,-1,0,-3,1
003S3,"r4k1r/pNqnppb1/6pn/2p3Np/7P/2P2Q2/PP3PP1/R1B1K2R b KQ - 2 15
",3,-1,-3,1,-2,0,0,0
003eP,"8/r1b1q2k/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R b - - 1 36
",-1,-3,-7,-1,-1,-1,3,0
003jH,"rn3rk1/p5pp/3N4/4np1q/5Q2/1P3K2/PB1P2P1/2R4R w - - 0 25
",5,6,6,1,-1,0,1,1
003mh,"r4k1r/1pp2p2/p2p3p/3N4/3P2q1/8/PPP5/1K2Q1NR b - - 1 23
",3,0,-2,1,-1,-1,-1,0
003nQ,"6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R4R1K w - - 2 29
",-8,-1,8,0,-7,3,0,1
003r5,"r2qr1k1/ppp2ppp/4b3/3P4/1nP2Q2/2N2N1P/PP3KP1/R4R2 w - - 1 15
",-1,5,0,-1,6,0,0,1
004BW,"r1bk2r1/ppq2pQp/3bpn2/1BpnN3/5P2/1P6/PBPP2PP/RN2K2R w KQ - 3 13
",3,-2,10,1,0,1,-8,1
004Ud,"r1bqk2r/p3Bppp/3p4/1ppn4/4P3/4Q3/PPP2PPP/2KR1B1R b kq - 0 11
",5,3,5,0,-3,0,4,0
0054a,"r1b2rk1/ppq2ppp/8/4b2Q/4R3/3B4/PP3PPP/R1B3K1 b - - 1 15
",2,2,0,0,0,0,-7,0
0068B,"r1q3k1/4bppp/pp2pn2/4B3/8/2N2Q2/PPPR1PPP/6K1 b - - 0 18
",4,4,8,0,-3,0,1,0
006RM,"1k1r3r/2q5/pp1n2p1/8/1Q6/3R2P1/PPP2P1P/3R2K1 b - - 4 29
",-5,3,7,0,-2,0,2,0
006cZ,"3r1rk1/1p4p1/p1p3Qp/2q5/8/3n1N1P/PP1R2P1/5R1K b - - 7 28
",-6,-4,-3,-1,-2,-1,0,0
006i7,"r4rk1/3nqpp1/2p1bn1p/3pN3/1p1P4/2NQP2P/1PB2PP1/R4RK1 w - - 0 18
",1,0,6,1,-3,0,-5,1
734,"rn3bk1/2rqp2p/2p3p1/3p1p2/3P1P1B/pP1BP3/P1Q2PRP/1KR5 b - - 0 26
",2,0,7,0,-4,0,6,0
007AS,"r3kb1r/3nnpp1/4p1bp/1NppP3/3P4/6N1/P2BBPPP/R3K2R b KQkq - 0 17
",-7,-3,8,1,-1,0,-4,0
007tv,"r3k1nr/1pp2ppp/1pnp2q1/4p1B1/2B1P3/3P1Q1P/PPP2PP1/R4RK1 b kq - 0 11
",-3,-1,16,0,0,0,4,0
008Y3,"r5k1/1p1rqpp1/p3pnp1/2PN4/8/1Q5P/PP3PP1/3RR1K1 b - - 0 24
",7,1,-1,1,1,0,-3,0
009Os,"r2b2k1/1p3q1p/p2p4/3P2p1/2P1PRQr/8/P2B3P/2R4K w - - 1 29
",3,1,4,0,3,0,-3,1
009Wc,"1r3rk1/1pq2pbp/p1p1pnp1/2N1N3/3P4/1QP5/PP3PPP/3RR1K1 w - - 2 19
",8,2,-2,2,-1,0,3,1
009aD,"r4k1r/pp3pp1/4p3/3pP1np/6bq/1PP2P2/P3B1PP/RN1Q1RK1 w - - 1 14
",1,1,-1,0,1,0,1,1
009zS,"r3r1k1/1p3p1p/p1p3p1/8/6bP/Q3b3/PP2B1P1/R3K2R w KQ - 2 20
",0,-4,-6,0,-1,4,0,1
00Aas,"3r1rk1/1p2q1pp/5p2/8/1P1n4/6Q1/PPbB1PPP/R2B1RK1 w - - 9 20
",-7,-5,7,-1,1,2,-1,1
00AhO,"r1b2rk1/2q2p1p/1p2pbp1/pP6/2P1Q3/P2B1N2/5PPP/3R1RK1 w - - 0 20
",1,3,-12,0,1,0,4,1
00Ahb,"1k4nr/pp1r1ppp/4p3/1Nb2q2/2Pp4/6P1/PP3P1P/R1BQR1K1 b - - 2 14
",1,-2,-1,1,-1,-1,0,0
00Al5,"2r3k1/p2q1pbp/1p2pnp1/nB1p4/3P4/1Pr1P2P/P1QB1PP1/2R2RK1 w - - 0 19
",-10,-2,9,0,0,-3,-4,1
00B7G,"1rb2r1k/4q2p/p2p4/3B1p2/1pPb4/1P2NQ2/P5PP/2R2RK1 w - - 1 24
",-4,0,-5,0,-4,0,10,1
00BJm,"r2q1rk1/1Q2bppp/p1N1p3/1p6/2pP1n2/2P5/PP3PPP/R4RK1 b - - 1 18
",-2,0,-7,0,-4,-3,-1,0
00BM8,"r4rk1/pp2bppp/2ppnn2/8/N1P1P3/q1P4P/P2N2PB/R2Q1R1K b - - 0 16
",3,0,6,0,4,-1,-7,0
